key,start,end,n_days,n_blocks,contract,roll_inside,spread_applied,open,high,low,close,volume,row,n_rows,poc,vah,val,tpo_count,tail_up_rows,tail_down_rows,unconfirmed_up,unconfirmed_down,poor_high,poor_low,sp_above_poc,sp_below_poc,vpoc,vvah,vval,prev_high,prev_low,prev_close,prev_poc,prev_vah,prev_val
2010-06-07,2010-06-07,2010-06-11,5,30,6640,False,0.00,1061.25,1092.25,1041.25,1089.50,10831641,1.50,35,1056.00,1072.50,1047.00,247,0,2,True,False,False,False,0,0,1066.50,1071.00,1045.50,,,,,,
2010-06-14,2010-06-14,2010-06-18,5,30,26714,True,-4.25,1086.25,1117.50,1084.25,1110.25,10316063,1.50,24,1107.00,1117.50,1095.00,164,0,0,False,False,False,True,0,0,1110.00,1114.50,1098.00,1088.00,1037.00,1085.25,1051.75,1068.25,1042.75
2010-06-21,2010-06-21,2010-06-25,5,30,26714,False,0.00,1116.00,1129.50,1062.75,1074.75,11674359,1.50,46,1074.00,1108.50,1062.00,212,0,2,False,False,False,False,3,0,1072.50,1104.00,1063.50,1117.50,1084.25,1110.25,1107.00,1117.50,1095.00
2010-06-28,2010-06-28,2010-07-02,5,30,26714,False,0.00,1074.25,1079.75,1006.00,1014.25,12883551,1.50,50,1024.50,1047.00,1009.50,227,0,3,False,False,True,False,4,0,1021.50,1041.00,1006.50,1129.50,1062.75,1074.75,1074.00,1108.50,1062.00
2010-07-05,2010-07-05,2010-07-09,5,29,26714,False,0.00,1015.00,1075.00,1002.75,1071.75,8504786,1.50,49,1015.50,1059.00,1003.50,183,0,3,True,False,False,False,7,0,1066.50,1074.00,1033.50,1079.75,1006.00,1014.25,1024.50,1047.00,1009.50
2010-07-12,2010-07-12,2010-07-16,5,30,26714,False,0.00,1071.50,1099.25,1059.00,1063.25,10234270,1.50,27,1089.00,1099.50,1077.00,191,0,0,False,True,True,False,0,0,1090.50,1095.00,1072.50,1075.00,1002.75,1071.75,1015.50,1059.00,1003.50
2010-07-19,2010-07-19,2010-07-23,5,30,26714,False,0.00,1061.75,1101.50,1050.75,1101.00,10700204,1.50,35,1063.50,1086.00,1057.50,205,0,3,True,False,False,False,0,0,1089.00,1093.50,1065.00,1099.25,1059.00,1063.25,1089.00,1099.50,1077.00
2010-07-26,2010-07-26,2010-07-30,5,30,26714,False,0.00,1101.25,1118.75,1083.50,1100.25,9377824,1.50,24,1108.50,1113.00,1096.50,173,0,3,False,False,True,False,0,0,1108.50,1113.00,1096.50,1101.50,1050.75,1101.00,1063.50,1086.00,1057.50
2010-08-02,2010-08-02,2010-08-06,5,30,26714,False,0.00,1104.50,1127.75,1101.75,1119.75,8193803,1.50,18,1119.00,1126.50,1113.00,157,0,0,False,False,True,False,0,0,1119.00,1123.50,1113.00,1118.75,1083.50,1100.25,1108.50,1113.00,1096.50
2010-08-09,2010-08-09,2010-08-13,5,30,26714,False,0.00,1120.00,1126.75,1070.50,1075.75,9318952,1.50,39,1081.50,1116.00,1069.50,180,0,2,False,False,False,False,3,0,1080.00,1111.50,1071.00,1127.75,1101.75,1119.75,1119.00,1126.50,1113.00
2010-08-16,2010-08-16,2010-08-20,5,30,26714,False,0.00,1077.50,1098.50,1061.75,1071.00,9419697,1.00,38,1087.00,1098.00,1073.00,267,0,2,False,False,True,False,0,0,1073.00,1088.00,1063.00,1126.75,1070.50,1075.75,1081.50,1116.00,1069.50
2010-08-23,2010-08-23,2010-08-27,5,30,26714,False,0.00,1070.00,1080.25,1037.00,1064.00,10994975,1.00,44,1049.00,1062.00,1043.00,271,2,0,False,False,False,True,0,0,1053.00,1058.00,1043.00,1098.50,1061.75,1071.00,1087.00,1098.00,1073.00
2010-08-30,2010-08-30,2010-09-03,5,30,26714,False,0.00,1064.50,1104.50,1037.50,1103.25,9907271,1.00,68,1079.00,1105.00,1055.00,242,0,2,False,False,True,False,0,2,1077.00,1092.00,1047.00,1080.25,1037.00,1064.00,1049.00,1062.00,1043.00
