date,open,high,low,close,volume,n_bars,first_bar,last_bar,weekday,half_day,suspicious,move_pct
2010-06-07,1066.7500,1070.7500,1048.7500,1049.7500,1830018,390,09:30,15:59,Monday,False,False,-1.5936
2010-06-08,1050.2500,1063.2500,1041.2500,1060.5000,2782585,390,09:30,15:59,Tuesday,False,False,0.9760
2010-06-09,1067.2500,1077.7500,1051.2500,1054.7500,2219416,390,09:30,15:59,Wednesday,False,False,-1.1712
2010-06-10,1073.2500,1087.7500,1071.7500,1086.7500,1267418,390,09:30,15:59,Thursday,False,False,1.2579
2010-06-11,1076.5000,1092.2500,1076.0000,1091.5000,497403,390,09:30,15:59,Friday,False,False,1.3934
2010-06-14,1095.7500,1101.7500,1084.2500,1085.5000,1647230,390,09:30,15:59,Monday,False,False,-0.9354
2010-06-15,1093.0000,1111.5000,1091.2500,1110.2500,1746322,390,09:30,15:59,Tuesday,False,False,1.5782
2010-06-16,1104.5000,1114.7500,1102.5000,1109.7500,1693789,390,09:30,15:59,Wednesday,False,False,0.4753
2010-06-17,1113.0000,1113.7500,1100.7500,1111.5000,1955233,390,09:30,15:59,Thursday,False,False,-0.1348
2010-06-18,1113.5000,1116.7500,1109.0000,1112.2500,1202289,390,09:30,15:59,Friday,False,False,-0.1123
2010-06-21,1126.5000,1127.5000,1103.2500,1109.0000,1733121,390,09:30,15:59,Monday,False,False,-1.5535
2010-06-22,1109.7500,1114.5000,1089.5000,1091.5000,1886263,390,09:30,15:59,Tuesday,False,False,-1.6445
2010-06-23,1091.7500,1095.7500,1080.2500,1087.5000,1851861,390,09:30,15:59,Wednesday,False,False,-0.3893
2010-06-24,1082.5000,1083.7500,1066.5000,1069.7500,2083060,390,09:30,15:59,Thursday,False,False,-1.1778
2010-06-25,1072.7500,1079.5000,1062.7500,1074.2500,1901181,390,09:30,15:59,Friday,False,False,0.1398
2010-06-28,1075.5000,1078.5000,1066.5000,1070.0000,1330939,390,09:30,15:59,Monday,False,False,-0.5114
2010-06-29,1055.5000,1055.7500,1030.2500,1037.0000,2581051,390,09:30,15:59,Tuesday,False,False,-1.7527
2010-06-30,1034.0000,1043.7500,1023.5000,1026.0000,1993031,390,09:30,15:59,Wednesday,False,False,-0.7737
2010-07-01,1026.2500,1029.7500,1006.0000,1023.0000,2818757,390,09:30,15:59,Thursday,False,False,-0.3167
2010-07-02,1026.0000,1029.0000,1010.7500,1017.2500,1523521,390,09:30,15:59,Friday,False,False,-0.8528
2010-07-05,1013.7500,1014.2500,1011.2500,1012.0000,15696,120,09:30,11:29,Monday,True,False,-0.1726
2010-07-06,1031.2500,1038.5000,1013.5000,1023.7500,1870564,390,09:30,15:59,Tuesday,False,False,-0.7273
2010-07-07,1025.7500,1057.5000,1024.7500,1056.2500,2049794,390,09:30,15:59,Wednesday,False,False,2.9734
2010-07-08,1064.5000,1067.7500,1054.0000,1066.2500,1644762,390,09:30,15:59,Thursday,False,False,0.1644
2010-07-09,1066.2500,1074.7500,1064.2500,1074.2500,1111121,390,09:30,15:59,Friday,False,False,0.7503
2010-07-12,1071.0000,1077.2500,1066.5000,1075.2500,1152581,390,09:30,15:59,Monday,False,False,0.3968
2010-07-13,1086.2500,1096.0000,1084.2500,1091.5000,1565744,390,09:30,15:59,Tuesday,False,False,0.4833
2010-07-14,1087.7500,1095.5000,1083.5000,1091.5000,1498270,390,09:30,15:59,Wednesday,False,False,0.3447
2010-07-15,1091.2500,1095.5000,1076.2500,1091.7500,1899054,390,09:30,15:59,Thursday,False,False,0.0458
2010-07-16,1085.7500,1086.5000,1059.0000,1061.5000,2009681,390,09:30,15:59,Friday,False,False,-2.2335
2010-07-19,1065.2500,1071.0000,1057.0000,1068.2500,1401713,390,09:30,15:59,Monday,False,False,0.2816
2010-07-20,1053.2500,1080.5000,1053.0000,1079.5000,1762297,390,09:30,15:59,Tuesday,False,False,2.4923
2010-07-21,1085.0000,1085.5000,1061.0000,1065.7500,2010354,390,09:30,15:59,Wednesday,False,False,-1.7742
2010-07-22,1078.2500,1094.5000,1078.0000,1089.5000,1692094,390,09:30,15:59,Thursday,False,False,1.0434
2010-07-23,1087.2500,1100.7500,1084.0000,1099.0000,1707252,390,09:30,15:59,Friday,False,False,1.0807
2010-07-26,1100.7500,1111.7500,1097.7500,1110.7500,1209818,390,09:30,15:59,Monday,False,False,0.9085
